model,fraction,seed,epoch,train_loss,train_acc,val_loss,val_acc,test_acc
cnn,0.01,1,1,2.287364,0.168889,2.288252,0.1462,
cnn,0.01,1,2,2.106376,0.255556,2.265141,0.1668,
cnn,0.01,1,3,1.979194,0.257778,2.227403,0.1514,
cnn,0.01,1,4,1.90771,0.317778,2.182124,0.1736,
cnn,0.01,1,5,1.888748,0.331111,2.124601,0.189,
cnn,0.01,1,6,1.838222,0.36,2.053245,0.2084,
cnn,0.01,1,7,1.764036,0.382222,2.017205,0.2312,
cnn,0.01,1,8,1.748835,0.355556,1.950789,0.2572,
cnn,0.01,1,9,1.674353,0.393333,1.921333,0.2636,
cnn,0.01,1,10,1.617766,0.422222,2.041695,0.2422,
cnn,0.01,1,11,1.596157,0.462222,1.909421,0.2944,
cnn,0.01,1,12,1.604288,0.457778,1.890934,0.3036,
cnn,0.01,1,13,1.538642,0.475556,2.053975,0.2472,
cnn,0.01,1,14,1.531426,0.466667,1.887714,0.3,
cnn,0.01,1,15,1.503144,0.491111,1.943527,0.276,
cnn,0.01,1,16,1.452931,0.52,1.994256,0.268,
cnn,0.01,1,17,1.430246,0.526667,1.846831,0.317,
cnn,0.01,1,18,1.390727,0.544444,1.937315,0.3044,
cnn,0.01,1,19,1.378507,0.526667,1.830366,0.327,
cnn,0.01,1,20,1.354905,0.54,1.852737,0.3102,
cnn,0.01,1,21,1.304538,0.548889,1.789461,0.3366,
cnn,0.01,1,22,1.324179,0.562222,1.840605,0.3292,
cnn,0.01,1,23,1.295397,0.586667,1.818137,0.3262,
cnn,0.01,1,24,1.221848,0.622222,1.83922,0.3322,
cnn,0.01,1,25,1.196448,0.617778,1.854654,0.3218,
cnn,0.01,1,26,1.191882,0.633333,1.805229,0.3436,
cnn,0.01,1,27,1.181848,0.637778,1.790254,0.349,
cnn,0.01,1,28,1.155369,0.635556,1.774904,0.3378,
cnn,0.01,1,29,1.104712,0.677778,1.774785,0.3466,
cnn,0.01,1,30,1.099398,0.684444,1.747273,0.3644,
cnn,0.01,1,31,1.078681,0.657778,1.736759,0.3698,
cnn,0.01,1,32,1.036379,0.682222,1.749206,0.369,
cnn,0.01,1,33,1.024918,0.711111,1.800649,0.3562,
cnn,0.01,1,34,1.004709,0.731111,1.710181,0.3866,
cnn,0.01,1,35,0.9349,0.757778,1.729079,0.3808,
cnn,0.01,1,36,0.968879,0.74,1.692357,0.3798,
cnn,0.01,1,37,0.950653,0.766667,1.725495,0.3752,
cnn,0.01,1,38,0.946266,0.762222,1.717939,0.3764,
cnn,0.01,1,39,0.922579,0.742222,1.698199,0.3778,
cnn,0.01,1,40,0.930184,0.737778,1.710111,0.3698,
cnn,0.01,1,41,0.920286,0.751111,1.665592,0.3898,
cnn,0.01,1,42,0.933855,0.751111,1.664812,0.3886,
cnn,0.01,1,43,0.895993,0.773333,1.658883,0.3982,
cnn,0.01,1,44,0.901509,0.764444,1.652864,0.4012,
cnn,0.01,1,45,0.884725,0.773333,1.675674,0.3892,
cnn,0.01,1,46,0.926948,0.748889,1.666026,0.401,
cnn,0.01,1,47,0.883416,0.786667,1.661279,0.4016,
cnn,0.01,1,48,0.873393,0.786667,1.652288,0.405,
cnn,0.01,1,49,0.886441,0.78,1.664197,0.3958,
cnn,0.01,1,50,0.888905,0.768889,1.654347,0.403,
cnn,0.01,1,FINAL,,,,0.405,0.4355
cnn,0.05,1,1,2.119393,0.207556,2.071537,0.2058,
cnn,0.05,1,2,1.912819,0.296,1.911137,0.2834,
cnn,0.05,1,3,1.818459,0.332444,1.906174,0.277,
cnn,0.05,1,4,1.72127,0.363111,1.734044,0.3604,
cnn,0.05,1,5,1.664749,0.404444,1.783174,0.3472,
cnn,0.05,1,6,1.620071,0.409778,1.758555,0.357,
cnn,0.05,1,7,1.545374,0.459111,1.784843,0.34,
cnn,0.05,1,8,1.544289,0.435111,1.617349,0.4266,
cnn,0.05,1,9,1.469356,0.488,1.664816,0.3994,
cnn,0.05,1,10,1.407273,0.492,1.587548,0.4178,
cnn,0.05,1,11,1.421264,0.5,1.709044,0.3894,
cnn,0.05,1,12,1.344289,0.533778,2.043741,0.319,
cnn,0.05,1,13,1.300723,0.563111,1.471687,0.4748,
cnn,0.05,1,14,1.239068,0.575111,1.574155,0.426,
cnn,0.05,1,15,1.218053,0.571111,1.577896,0.4438,
cnn,0.05,1,16,1.173551,0.588889,1.600793,0.4516,
cnn,0.05,1,17,1.136923,0.610222,1.741562,0.4258,
cnn,0.05,1,18,1.11462,0.623556,1.431697,0.4848,
cnn,0.05,1,19,1.073712,0.635556,1.500358,0.4848,
cnn,0.05,1,20,1.032701,0.654667,1.738055,0.3888,
cnn,0.05,1,21,0.990415,0.670222,1.432181,0.4878,
cnn,0.05,1,22,0.977631,0.676,1.444279,0.4996,
cnn,0.05,1,23,0.957726,0.676,1.517568,0.4742,
cnn,0.05,1,24,0.887614,0.716444,1.560715,0.4812,
cnn,0.05,1,25,0.894183,0.702667,1.508792,0.4762,
cnn,0.05,1,26,0.838582,0.716889,1.31641,0.5316,
cnn,0.05,1,27,0.830577,0.734667,1.302404,0.5474,
cnn,0.05,1,28,0.817494,0.735556,1.63053,0.466,
cnn,0.05,1,29,0.78908,0.744889,1.390838,0.5098,
cnn,0.05,1,30,0.755604,0.753333,1.361739,0.5272,
cnn,0.05,1,31,0.719161,0.773333,1.317062,0.5328,
cnn,0.05,1,32,0.709551,0.775556,1.278148,0.5562,
cnn,0.05,1,33,0.669993,0.790222,1.266773,0.5572,
cnn,0.05,1,34,0.63196,0.816889,1.294414,0.5458,
cnn,0.05,1,35,0.664751,0.798222,1.253294,0.5658,
cnn,0.05,1,36,0.635457,0.799556,1.252,0.5652,
cnn,0.05,1,37,0.617557,0.816444,1.259959,0.5692,
cnn,0.05,1,38,0.606539,0.813333,1.25067,0.5634,
cnn,0.05,1,39,0.581028,0.832889,1.225487,0.567,
cnn,0.05,1,40,0.577252,0.826667,1.208425,0.5746,
cnn,0.05,1,41,0.548505,0.847111,1.190598,0.5808,
cnn,0.05,1,42,0.570168,0.832,1.214816,0.5746,
cnn,0.05,1,43,0.550135,0.843111,1.189046,0.5864,
cnn,0.05,1,44,0.548259,0.849778,1.196005,0.5884,
cnn,0.05,1,45,0.530173,0.848889,1.208682,0.578,
cnn,0.05,1,46,0.549744,0.838222,1.195774,0.5854,
cnn,0.05,1,47,0.498646,0.870222,1.192073,0.5844,
cnn,0.05,1,48,0.520603,0.862222,1.173703,0.5896,
cnn,0.05,1,49,0.531163,0.855111,1.190546,0.5862,
cnn,0.05,1,50,0.50909,0.863111,1.182537,0.5926,
cnn,0.05,1,FINAL,,,,0.5926,0.6283
cnn,0.1,1,1,2.0057,0.244444,1.914619,0.2988,
cnn,0.1,1,2,1.815102,0.324667,1.94519,0.2864,
cnn,0.1,1,3,1.700959,0.386222,1.750659,0.3568,
cnn,0.1,1,4,1.595045,0.422444,1.660994,0.376,
cnn,0.1,1,5,1.517378,0.444667,1.684172,0.397,
cnn,0.1,1,6,1.457633,0.483333,1.565457,0.438,
cnn,0.1,1,7,1.37926,0.512444,1.805623,0.4002,
cnn,0.1,1,8,1.324598,0.532444,1.588259,0.4376,
cnn,0.1,1,9,1.27743,0.539333,1.799811,0.418,
cnn,0.1,1,10,1.265597,0.549556,1.509428,0.4658,
cnn,0.1,1,11,1.186097,0.587556,1.571444,0.4696,
cnn,0.1,1,12,1.159102,0.592222,1.472714,0.4826,
cnn,0.1,1,13,1.120162,0.605111,1.273328,0.5454,
cnn,0.1,1,14,1.079252,0.625333,1.370575,0.5174,
cnn,0.1,1,15,1.032367,0.645778,1.272375,0.5496,
cnn,0.1,1,16,1.002264,0.654444,1.761337,0.4232,
cnn,0.1,1,17,0.997805,0.647556,1.484139,0.4866,
cnn,0.1,1,18,0.914319,0.687333,1.536187,0.4654,
cnn,0.1,1,19,0.940083,0.671556,1.249522,0.5612,
cnn,0.1,1,20,0.881667,0.699333,1.17388,0.5856,
cnn,0.1,1,21,0.846681,0.711111,1.239204,0.563,
cnn,0.1,1,22,0.837913,0.712,1.213421,0.5886,
cnn,0.1,1,23,0.810674,0.716889,1.360475,0.5362,
cnn,0.1,1,24,0.781483,0.730444,1.155304,0.5938,
cnn,0.1,1,25,0.752006,0.743333,1.120586,0.5988,
cnn,0.1,1,26,0.728382,0.758667,1.222612,0.575,
cnn,0.1,1,27,0.698889,0.760444,1.25174,0.5814,
cnn,0.1,1,28,0.668301,0.778667,1.179356,0.5932,
cnn,0.1,1,29,0.642649,0.780889,1.126322,0.6176,
