model,fraction,seed,epoch,train_loss,train_acc,val_loss,val_acc,test_acc
cnn,0.01,1,1,2.241034,0.2,2.27637,0.174,
cnn,0.01,1,2,1.913056,0.342222,2.233167,0.169,
cnn,0.01,1,3,1.774953,0.404444,2.192683,0.1646,
cnn,0.01,1,4,1.655301,0.426667,2.171051,0.1804,
cnn,0.01,1,5,1.577154,0.477778,2.143989,0.184,
cnn,0.01,1,6,1.465969,0.544444,2.063815,0.1972,
cnn,0.01,1,7,1.389448,0.577778,1.987525,0.2226,
cnn,0.01,1,8,1.330928,0.6,1.874665,0.2932,
cnn,0.01,1,9,1.225068,0.642222,1.860843,0.304,
cnn,0.01,1,10,1.130919,0.697778,1.868659,0.3252,
cnn,0.01,1,11,1.046952,0.74,1.808011,0.3394,
cnn,0.01,1,12,0.953506,0.775556,1.800023,0.3462,
cnn,0.01,1,13,0.881362,0.811111,1.804831,0.3346,
cnn,0.01,1,14,0.792766,0.844444,1.813711,0.3424,
cnn,0.01,1,15,0.702526,0.895556,1.772617,0.3584,
cnn,0.01,1,16,0.63792,0.917778,1.778894,0.3516,
cnn,0.01,1,17,0.551367,0.942222,1.784946,0.3562,
cnn,0.01,1,18,0.513838,0.933333,1.826568,0.3766,
cnn,0.01,1,19,0.459345,0.966667,1.727206,0.3846,
cnn,0.01,1,20,0.405511,0.971111,1.748982,0.381,
cnn,0.01,1,21,0.354842,0.982222,1.705525,0.3974,
cnn,0.01,1,22,0.316964,0.98,1.773623,0.3768,
cnn,0.01,1,23,0.279872,0.984444,1.746689,0.3872,
cnn,0.01,1,24,0.237895,0.993333,1.753108,0.3798,
cnn,0.01,1,25,0.212093,0.997778,1.743805,0.3828,
cnn,0.01,1,26,0.196424,0.997778,1.732624,0.3856,
cnn,0.01,1,27,0.191498,0.993333,1.759616,0.3804,
cnn,0.01,1,28,0.146881,1.0,1.756438,0.3956,
cnn,0.01,1,29,0.141365,1.0,1.74462,0.3948,
cnn,0.01,1,30,0.13371,1.0,1.739809,0.3892,
cnn,0.01,1,31,0.118846,1.0,1.739089,0.3878,
cnn,0.01,1,32,0.106254,1.0,1.740281,0.3944,
cnn,0.01,1,33,0.102434,1.0,1.741397,0.4046,
